web-scraper-order,web-scraper-start-url,properties,properties-href,address,bed,bath,sqft,price
"1656273274-222","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/1604-Glen-Ivy-16_Marietta_GA_30062_M55425-03565","1604 Glen Ivy Unit 16, Marietta, GA 30062","3","2.5","1,873","$429,900"
"1656272425-97","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/2130-Heritage-Trace-Dr_Marietta_GA_30062_M56085-77487","2130 Heritage Trace Dr, Marietta, GA 30062","4","2.5","1,941","$525,000"
"1656272339-86","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/2545-Wynmont-Pl_Marietta_GA_30062_M64032-83678","null","null","null","null","null"
"1656273380-243","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/2405-Chestnut-Springs-Trl_Marietta_GA_30062_M58972-08510","2405 Chestnut Springs Trl, Marietta, GA 30062","4","3.5","2,741","$560,000"
"1656271851-20","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/3102-Holly-Springs-Rd-NE_Marietta_GA_30062_M61628-10982","3102 Holly Springs Rd NE, Marietta, GA 30062","3","2","null","$1,150,000"
"1656272346-87","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/1700-Cedar-Bluff-Way_Marietta_GA_30062_M69546-55521","1700 Cedar Bluff Way, Marietta, GA 30062","3","2.5","1,332","$300,000"
"1656273079-188","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/2199-Bull-Run-Ct_Marietta_GA_30062_M63485-10446","2199 Bull Run Ct, Marietta, GA 30062","4","2.5","null","$448,745"
"1656272166-62","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/2902-Pathview-Ln_Marietta_GA_30062_M61078-21096","2902 Pathview Ln, Marietta, GA 30062","4","3","null","$539,900"
"1656273347-235","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/2866-Interlaken-Dr_Marietta_GA_30062_M62096-31651","2866 Interlaken Dr, Marietta, GA 30062","4","2.5","3,067","$649,900"
"1656272963-172","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/210-Old-Bee-Tree-Dr_Marietta_GA_30062_M69569-80531","210 Old Bee Tree Dr, Marietta, GA 30062","3","2","1,202","$325,000"
"1656272469-103","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/1545-Reids-Ferry-Way_Marietta_GA_30062_M60663-33249","1545 Reids Ferry Way, Marietta, GA 30062","3","2.5","2,525","$500,000"
"1656272454-101","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/3558-Chestatee-Dr_Marietta_GA_30062_M63285-21380","3558 Chestatee Dr, Marietta, GA 30062","3","3","null","$450,900"
"1656272137-58","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/1977-Stafford-Pl_Marietta_GA_30062_M50018-56975","1977 Stafford Pl, Marietta, GA 30062","5","3.5","2,775","$549,900"
"1656272614-124","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/2340-Mitchell-Rd-NE_Marietta_GA_30062_M60765-06332","2340 Mitchell Rd NE, Marietta, GA 30062","3","2.5","2,511","$400,000"
"1656272919-166","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/3352-Woodrun-Trl_Marietta_GA_30062_M57029-00737","3352 Woodrun Trl, Marietta, GA 30062","4","3","2,230","$425,000"
"1656272750-142","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/2995-Wendwood-Dr_Marietta_GA_30062_M54577-53994","2995 Wendwood Dr, Marietta, GA 30062","4","2","2,030","$435,000"
"1656273310-229","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/2260-Abbey-Cove-Ct_Marietta_GA_30062_M52792-19681","2260 Abbey Cove Ct, Marietta, GA 30062","5","4.5","3,981","$797,900"
"1656272153-60","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/983-Overbrook-Cir_Marietta_GA_30062_M66630-86787","983 Overbrook Cir, Marietta, GA 30062","5","3","1,981","$429,000"
"1656272608-123","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/4331-Bishop-Lake-Rd_Marietta_GA_30062_M50640-53833","4331 Bishop Lake Rd, Marietta, GA 30062","6","6.5","5,859","$1,800,000"
"1656273193-206","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/2794-Long-Grove-Dr_Marietta_GA_30062_M61892-84446","2794 Long Grove Dr, Marietta, GA 30062","6","6.5","7,708","$1,300,000"
"1656273010-178","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/2795-Bentwood-Dr_Marietta_GA_30062_M63848-44740","2795 Bentwood Dr, Marietta, GA 30062","3","2","1,620","$475,000"
"1656273261-219","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/1605-Glen-Ivy-16_Marietta_GA_30062_M52409-84824","1605 Glen Ivy Unit 16, Marietta, GA 30062","3","2.5","1,758","$409,900"
"1656272567-117","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/3201-Normandy-Cir-NE_Marietta_GA_30062_M60585-81413","3201 Normandy Cir NE, Marietta, GA 30062","5","2.5","3,170","$485,000"
"1656272117-55","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/2161-Fox-Hound-Pkwy_Marietta_GA_30062_M64783-75957","2161 Fox Hound Pkwy, Marietta, GA 30062","4","2.5","2,388","$625,000"
"1656272868-159","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/1245-Stonecroft-Way_Marietta_GA_30062_M61964-46324","1245 Stonecroft Way, Marietta, GA 30062","6","6.5+","8,687","$1,800,000"
"1656272699-135","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/3680-Wesley-Chapel-Rd_Marietta_GA_30062_M52924-52084","3680 Wesley Chapel Rd, Marietta, GA 30062","null","null","null","$299,000"
"1656272212-68","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/3580-Pebble-Hill-Dr_Marietta_GA_30062_M51872-51890","3580 Pebble Hill Dr, Marietta, GA 30062","4","2.5","2,856","$450,000"
"1656272145-59","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/2238-Hill-Creek-Way_Marietta_GA_30062_M51715-59779","2238 Hill Creek Way, Marietta, GA 30062","4","2.5","2,684","$539,000"
"1656273197-207","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/3339-Hunters-Lodge-Rd_Marietta_GA_30062_M66113-69882","3339 Hunters Lodge Rd, Marietta, GA 30062","3","3","2,010","$416,000"
"1656272027-44","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/4166-Shallowford-Rd_Marietta_GA_30062_M52766-78780","4166 Shallowford Rd, Marietta, GA 30062","4","4","null","$560,000"
"1656272462-102","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/1601-Glen-Ivy-16_Marietta_GA_30062_M53340-37882","1601 Glen Ivy Unit 16, Marietta, GA 30062","3","2.5","1,758","$414,900"
"1656273425-252","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/3845-Bluffview-Dr_Marietta_GA_30062_M56205-80270","3845 Bluffview Dr, Marietta, GA 30062","4","2.5","2,824","$425,000"
"1656273121-194","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/1847-Beaver-Dam-Ln-NE_Marietta_GA_30062_M52509-79801","1847 Beaver Dam Ln NE, Marietta, GA 30062","4","3.5","1,800","$425,000"
